kalimat,translated,analysis,emotions,avg_polarity,sentiment
"Saya telah mengikuti perkembangan beberapa hari ini, terutama peristiwa tadi malam, di mana terjadi demonstrasi yang mengarah kepada tindakan anarkis.","I have been following developments in recent days, especially last night's incident, where a demonstration led to anarchic actions.","{'emotions': ['#eagerness', '#sadness', '#pleasantness'], 'avg_polarity': 0.31, 'sentiment': 'positive'}","['#eagerness', '#sadness', '#pleasantness']",0.31,positive
Juga ada peristiwa di mana seorang petugas menabrak pengemudi ojek online yang mengakibatkan almarhum Affan Kurniawan tadi malam meninggal dunia.,"There was also an incident where an officer hit an online motorcycle taxi driver, causing the late Affan Kurniawan to pass away last night.","{'emotions': ['#joy', '#calmness', '#eagerness'], 'avg_polarity': 0.416, 'sentiment': 'positive'}","['#joy', '#calmness', '#eagerness']",0.416,positive
"Atas nama pribadi dan Pemerintah Republik Indonesia, saya mengucapkan turut berduka cita dan menyampaikan bela sungkawa yang sedalam-dalamnya.","On behalf of myself and the Government of the Republic of Indonesia, I express my condolences and deepest sympathy.","{'emotions': ['#eagerness', '#pleasantness', '#joy'], 'avg_polarity': 0.85, 'sentiment': 'positive'}","['#eagerness', '#pleasantness', '#joy']",0.85,positive
Saya sangat prihatin dan sangat sedih terjadi peristiwa ini.,I am very concerned and very sad that this incident occurred.,"{'emotions': ['#sadness', '#pleasantness'], 'avg_polarity': -0.6900000000000001, 'sentiment': 'negative'}","['#sadness', '#pleasantness']",-0.6900000000000001,negative
"Pemerintah akan menjamin kehidupan keluarganya, serta memberikan perhatian khusus kepada orang tuanya, adik-adiknya, dan kakak-kakaknya.","The government will guarantee the family's livelihood, and give special attention to his parents, younger siblings, and elder siblings.","{'emotions': ['#calmness', '#eagerness', '#pleasantness'], 'avg_polarity': 0.7184999999999999, 'sentiment': 'positive'}","['#calmness', '#eagerness', '#pleasantness']",0.7184999999999999,positive
"Sekali lagi, saya terkejut dan kecewa dengan tindakan petugas yang berlebihan.","Once again, I am shocked and disappointed by the excessive actions of the officers.","{'emotions': ['#fear', '#sadness'], 'avg_polarity': -0.88, 'sentiment': 'negative'}","['#fear', '#sadness']",-0.88,negative
"Saya telah memerintahkan agar insiden tadi malam diusut secara tuntas dan transparan, serta petugas-petugas yang terlibat harus bertanggung jawab.","I have ordered last night's incident to be thoroughly and transparently investigated, and the officers involved must be held accountable.","{'emotions': ['#fear', '#sadness', '#disgust'], 'avg_polarity': -0.505, 'sentiment': 'negative'}","['#fear', '#sadness', '#disgust']",-0.505,negative
"Seandainya ditemukan bahwa mereka berbuat di luar kepatutan dan ketentuan yang berlaku, kita akan ambil tindakan sekeras-kerasnya sesuai hukum yang berlaku.","If it is found that they acted beyond propriety and regulations, we will take the strongest possible action in accordance with the law.","{'emotions': ['#calmness', '#eagerness', '#pleasantness'], 'avg_polarity': 0.36325, 'sentiment': 'positive'}","['#calmness', '#eagerness', '#pleasantness']",0.36325,positive
"Dalam situasi seperti ini, saya menghimbau masyarakat untuk tenang.","In a situation like this, I urge the public to remain calm.","{'emotions': ['#fear', '#sadness', '#disgust'], 'avg_polarity': -0.885, 'sentiment': 'negative'}","['#fear', '#sadness', '#disgust']",-0.885,negative
Untuk percaya kepada pemerintah yang saya pimpin.,To trust the government that I lead.,"{'emotions': ['#calmness'], 'avg_polarity': 0.884, 'sentiment': 'positive'}",['#calmness'],0.884,positive
Pemerintah yang saya pimpin akan berbuat yang terbaik untuk rakyat.,The government I lead will do its best for the people.,"{'emotions': ['#calmness', '#eagerness', '#pleasantness'], 'avg_polarity': 0.4905, 'sentiment': 'positive'}","['#calmness', '#eagerness', '#pleasantness']",0.4905,positive
Semua keluhan masyarakat akan kami catat dan tindak lanjuti.,All public complaints will be recorded and followed up.,"{'emotions': [], 'avg_polarity': 0, 'sentiment': 'neutral'}",[],0.0,neutral
Saya juga menghimbau kepada seluruh bangsa Indonesia untuk selalu waspada.,I also urge the entire Indonesian nation to always be vigilant.,"{'emotions': ['#calmness', '#eagerness', '#sadness'], 'avg_polarity': -0.386, 'sentiment': 'negative'}","['#calmness', '#eagerness', '#sadness']",-0.386,negative
"Ada unsur-unsur yang selalu ingin huru-hara, yang ingin chaos.","There are elements who always want riots, who want chaos.","{'emotions': [], 'avg_polarity': 0, 'sentiment': 'neutral'}",[],0.0,neutral
"Saya sampaikan kepada seluruh rakyat bahwa hal tersebut tidak menguntungkan rakyat, tidak menguntungkan masyarakat, tidak menguntungkan bangsa kita.","I convey to all the people that such actions do not benefit the people, do not benefit society, and do not benefit our nation.","{'emotions': ['#calmness', '#eagerness'], 'avg_polarity': 0.35100000000000003, 'sentiment': 'positive'}","['#calmness', '#eagerness']",0.35100000000000003,positive
Bangsa kita sedang berbenah diri.,Our nation is reforming itself.,"{'emotions': ['#calmness', '#eagerness'], 'avg_polarity': 0.028, 'sentiment': 'neutral'}","['#calmness', '#eagerness']",0.028,neutral
"Bangsa kita sedang mengumpulkan semua tenaga, kekuatan, kekayaan, untuk kita bangkit membangun negara yang kuat, sejahtera, serta berhasil mengatasi kemiskinan dan kelaparan.","Our nation is gathering all energy, strength, and wealth, to rise and build a strong, prosperous country, successfully overcoming poverty and hunger.","{'emotions': ['#joy', '#calmness', '#eagerness'], 'avg_polarity': 0.18320000000000003, 'sentiment': 'positive'}","['#joy', '#calmness', '#eagerness']",0.18320000000000003,positive
"Kita akan menjadi bangsa yang maju, yang mandiri, yang berdiri di atas kaki sendiri.","We will become an advanced nation, independent, and standing on our own feet.","{'emotions': ['#eagerness', '#joy'], 'avg_polarity': 0.326, 'sentiment': 'positive'}","['#eagerness', '#joy']",0.326,positive
"Untuk itu, kita harus waspada, kita harus tenang, dan kita tidak boleh mengizinkan kelompok-kelompok yang ingin membuat huru-hara dan kerusuhan.","For that, we must be vigilant, we must remain calm, and we must not allow groups that want to create riots and unrest.","{'emotions': ['#joy', '#eagerness', '#disgust'], 'avg_polarity': -0.26233333333333336, 'sentiment': 'negative'}","['#joy', '#eagerness', '#disgust']",-0.26233333333333336,negative
"Aspirasi yang sah, silakan untuk disampaikan.","Legitimate aspirations, please feel free to express them.","{'emotions': ['#eagerness', '#pleasantness', '#joy'], 'avg_polarity': 0.9285, 'sentiment': 'positive'}","['#eagerness', '#pleasantness', '#joy']",0.9285,positive
Kita akan perbaiki semua yang perlu diperbaiki.,We will fix everything that needs to be fixed.,"{'emotions': ['#sadness', '#disgust'], 'avg_polarity': -0.64, 'sentiment': 'negative'}","['#sadness', '#disgust']",-0.64,negative
Saya kira itu pesan saya.,I think that is my message.,"{'emotions': [], 'avg_polarity': 0, 'sentiment': 'neutral'}",[],0.0,neutral
Terima kasih. Merdeka!,Thank you. Freedom!,"{'emotions': ['#joy'], 'avg_polarity': 0.9, 'sentiment': 'positive'}",['#joy'],0.9,positive
